Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 42.665, -0.255,-0.59, 4445893, -.2,
ADBE, Adobe Inc., 263.75, 2.79,1.07, 1943105, 1.2,
AMD, Advanced Micro Devices Inc., 23.509, 0.549,2.39, 51861668, .5,
ALXN, Alexion Pharmaceuticals Inc., 134.48, 2.44,1.85, 1131636, .5,
ALGN, Align Technology Inc., 251.11, 7.75,3.18, 1330646, .6,
GOOG, Alphabet Inc., 1196.8249, 21.0649,1.79, 1655401, 6.1,
GOOGL, Alphabet Inc., 1201.5, 22.24,1.89, 1716064, 5.6,
AMZN, Amazon.com Inc., 1676.98, 6.36,0.38, 2918163, 2.6,
AAL, American Airlines Group Inc., 31.145, -0.905,-2.82, 8406678, -.4,
AMGN, Amgen Inc., 184.85, 0.71,0.39, 1801819, .4,
ADI, Analog Devices Inc., 107.9, 0.22,0.2, 1810217, .1,
AAPL, Apple Inc., 180.67, 1.77,0.99, 26479437, 6.9,
AMAT, Applied Materials Inc., 38.72, 0.21,0.55, 5132135, .2,
ASML, ASML Holding N.V., 182.73, 1.64,0.91, 426764, .1,
ADSK, Autodesk Inc., 154.78, 0.74,0.48, 942476, .2,
ADP, Automatic Data Processing Inc., 152.1, 1.01,0.67, 1327349, .4,
BIDU, Baidu Inc., 167.3, 0.34,0.2, 1576840, .1,
BIIB, Biogen Inc., 313.34, 1.88,0.6, 667964, .4,
BMRN, BioMarin Pharmaceutical Inc., 93.12, 1.85,2.03, 506857, .3,
BKNG, Booking Holdings Inc., 1736.13, 26.23,1.53, 546427, 1.1,
AVGO, Broadcom Inc., 269.01, -0.05,-0.02, 1741650, .0,
CDNS, Cadence Design Systems Inc., 60.675, 0.715,1.19, 1319457, .2,
CELG, Celgene Corporation, 85.91, 0.65,0.76, 6315306, .4,
CERN, Cerner Corporation, 56.84, 0.58,1.03, 1969357, .2,
CHTR, Charter Communications Inc., 342.2112, 1.1312,0.33, 1094606, .2,
CHKP, Check Point Software Technologies Ltd., 121.2, 1.17,0.97, 928027, .2,
CTAS, Cintas Corporation, 204.53, 0.21,0.1, 379328, .0,
CSCO, Cisco Systems Inc., 52.085, 0.165,0.32, 14898677, .7,
CTXS, Citrix Systems Inc., 100.14, 0,0, 2510170, .0,
CTSH, Cognizant Technology Solutions Corporation, 71.805, -0.545,-0.75, 2876018, -.3,
CMCSA, Comcast Corporation, 39.5232, 0.3532,0.9, 14267531, 1.5,
COST, Costco Wholesale Corporation, 233.27, 3.58,1.56, 2269668, 1.4,
CSX, CSX Corporation, 72.665, -0.285,-0.39, 4171441, -.2,
CTRP, Ctrip.com International Ltd., 41.5, -0.42,-1, 4939648, -.2,
DLTR, Dollar Tree Inc., 102.57, -1.27,-1.22, 1511294, -.3,
EBAY, eBay Inc., 36.31, 0.06,0.17, 7286663, .1,
EA, Electronic Arts Inc., 98.81, -0.23,-0.23, 2798443, -.1,
EXPE, Expedia Group Inc., 120.76, -1.11,-0.91, 1184665, -.1,
FB, Facebook Inc., 171.94, -0.13,-0.08, 9949956, -.3,
FAST, Fastenal Company, 62.19, 0.47,0.76, 1059232, .1,
FISV, Fiserv Inc., 86.12, 0.09,0.1, 2617265, .0,
GILD, Gilead Sciences Inc., 64.92, 0.58,0.9, 3628120, .7,
HAS, Hasbro Inc., 86.765, -0.315,-0.36, 994949, .0,
HSIC, Henry Schein Inc., 59.82, -0.11,-0.18, 748784, .0,
IDXX, IDEXX Laboratories Inc., 205.89, 1.17,0.57, 289347, .1,
ILMN, Illumina Inc., 305.52, 5.34,1.78, 670015, .7,
INCY, Incyte Corporation, 85.11, 0.94,1.12, 533434, .2,
INTC, Intel Corporation, 53.625, 0.275,0.52, 13267390, 1.2,
INTU, Intuit Inc., 250.12, -0.42,-0.17, 869213, -.1,
ISRG, Intuitive Surgical Inc., 551.55, 8.6,1.58, 350937, .9,
JBHT, J.B. Hunt Transport Services Inc., 104.09, -0.52,-0.5, 550384, -.1,
JD, JD.com Inc., 28.205, 0.585,2.12, 15842862, .5,
KLAC, KLA-Tencor Corporation, 116.79, -0.14,-0.12, 1150791, .0,
LRCX, Lam Research Corporation, 172.3, 0.29,0.17, 1395684, .0,
LBTYA, Liberty Global plc, 25.165, 0.295,1.19, 2293996, .1,
LBTYK, Liberty Global plc, 24.61, 0.31,1.28, 2364459, .2,
LULU, lululemon athletica inc., 145.81, 0.52,0.36, 1542099, .1,
MAR, Marriott International, 120.7, 0.45,0.37, 1798454, .1,
MXIM, Maxim Integrated Products Inc., 53.11, -0.24,-0.45, 2122966, -.1,
MELI, MercadoLibre Inc., 480, -1.11,-0.23, 1286168, -.1,
MCHP, Microchip Technology Incorporated, 86.48, -0.32,-0.37, 798087, -.1,
MU, Micron Technology Inc., 39.3, 0.27,0.69, 16221123, .3,
MSFT, Microsoft Corporation, 113.57, 0.74,0.66, 18886762, 4.7,
MDLZ, Mondelez International Inc., 47.05, -0.07,-0.15, 4569551, -.1,
MNST, Monster Beverage Corporation, 60.2, -0.99,-1.62, 4126096, -.5,
MYL, Mylan N.V., 27.3699, 0.2099,0.77, 3025389, .1,
NTAP, NetApp Inc., 65.38, 0.12,0.18, 1785173, .0,
NTES, NetEase Inc., 232.35, -0.6,-0.26, 446227, .0,
NFLX, Netflix Inc., 357.03, -1.83,-0.51, 4127866, -.7,
NVDA, NVIDIA Corporation, 163.14, 2,1.24, 13227178, 1.1,
NXPI, NXP Semiconductors N.V., 94.22, -0.06,-0.06, 1306632, .0,
ORLY, O'Reilly Automotive Inc., 365.59, -0.75,-0.2, 401974, -.1,
PCAR, PACCAR Inc., 68.27, 0.12,0.18, 1641012, .0,
PAYX, Paychex Inc., 77.825, 0.305,0.39, 1299995, .1,
PYPL, PayPal Holdings Inc., 97.65, 0.2,0.21, 4289708, .2,
PEP, Pepsico Inc., 116.6, 0.01,0.01, 3297642, .0,
QCOM, QUALCOMM Incorporated, 54.875, 0.525,0.97, 7885812, .6,
REGN, Regeneron Pharmaceuticals Inc., 417.26, 5.21,1.26, 638538, .5,
ROST, Ross Stores Inc., 91.14, 0.4,0.44, 1551314, .1,
SIRI, Sirius XM Holdings Inc., 6.14, 0.17,2.85, 39357792, .7,
SWKS, Skyworks Solutions Inc., 82.36, 0.88,1.08, 1018996, .1,
SBUX, Starbucks Corporation, 70.17, 0.49,0.7, 6728716, .6,
SYMC, Symantec Corporation, 22.45, 0.07,0.31, 2583595, .0,
SNPS, Synopsys Inc., 107.04, 1.63,1.55, 1107490, .2,
TMUS, T-Mobile US Inc., 71.705, 0.235,0.33, 1840428, .2,
TTWO, Take-Two Interactive Software Inc., 89.45, -0.35,-0.39, 1043719, .0,
TSLA, Tesla Inc., 283.1284, -7.7916,-2.68, 6882842, -1.2,
TXN, Texas Instruments Incorporated, 106.49, 0.04,0.04, 2156575, .0,
KHC, The Kraft Heinz Company, 31.935, -0.235,-0.73, 7718414, -.3,
FOX, Twenty-First Century Fox Inc., 50.585, 0.315,0.63, 8149826, .2,
FOXA, Twenty-First Century Fox Inc., 50.87, 0.34,0.67, 19248779, .3,
ULTA, Ulta Beauty Inc., 311.885, 2.135,0.69, 643328, .1,
UAL, United Continental Holdings Inc., 79.97, -2.41,-2.93, 4628037, -.6,
VRSN, VeriSign Inc., 180.41, 1.34,0.75, 445030, .2,
VRSK, Verisk Analytics Inc., 128.41, 1.1,0.86, 462288, .2,
VRTX, Vertex Pharmaceuticals Incorporated, 183.17, 2.65,1.47, 1005126, .6,
WBA, Walgreens Boots Alliance Inc., 61.07, 0.39,0.64, 3577903, .3,
WDC, Western Digital Corporation, 49.19, -0.47,-0.95, 3950059, -.1,
WLTW, Willis Towers Watson Public Limited Company, 171.02, 0.61,0.36, 297427, .1,
WDAY, Workday Inc., 187.42, 1.92,1.04, 1248381, .3,
WYNN, Wynn Resorts Limited, 117.43, -1.94,-1.63, 1532813, -.2,
XEL, Xcel Energy Inc., 56.485, 0.435,0.78, 1909705, .2,
XLNX, Xilinx Inc., 122.62, 0.68,0.56, 2063692, .2,
